accession,assembly_id,status,date_published
GCA_003815275.2,ASFV/Pol/2015/Podlaskie,Complete Genome,2024/05/25 00:00
GCA_039702985.1,ASFV_SD202105,Complete Genome,2024/05/20 00:00
GCA_039567235.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567225.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567215.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567205.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567195.1,ASM3956719v1,Complete Genome,2024/05/08 00:00
GCA_039567185.1,Uganda898,Complete Genome,2024/05/08 00:00
GCA_039567175.1,ASM3956717v1,Complete Genome,2024/05/08 00:00
GCA_039567165.1,ASM3956716v1,Complete Genome,2024/05/08 00:00
GCA_039567155.1,ASM3956715v1,Complete Genome,2024/05/08 00:00
GCA_039567145.1,ASM3956714v1,Complete Genome,2024/05/08 00:00
GCA_039567135.1,ASM3956713v1,Complete Genome,2024/05/08 00:00
GCA_039567125.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567115.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567095.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567085.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567075.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567065.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567055.1,ASM3956705v1,Complete Genome,2024/05/08 00:00
GCA_039567045.1,ASM3956704v1,Complete Genome,2024/05/08 00:00
GCA_039567035.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567025.1,ASM3956702v1,Complete Genome,2024/05/08 00:00
GCA_039567015.1,ASM3956701v1,Complete Genome,2024/05/08 00:00
GCA_039567005.1,ASM3956700v1,Complete Genome,2024/05/08 00:00
GCA_038975805.1,ASM3897580v1,Complete Genome,2024/05/01 00:00
GCA_038975775.1,ASM3897577v1,Complete Genome,2024/05/01 00:00
GCA_038789245.1,ASM3878924v1,Complete Genome,2024/04/30 00:00
GCA_038789235.1,ASM3878923v1,Complete Genome,2024/04/30 00:00
GCA_038789225.1,ASM3878922v1,Complete Genome,2024/04/30 00:00
GCA_038422325.1,ASM3842232v1,Complete Genome,2024/04/23 00:00
GCA_038422295.1,ASM3842229v1,Complete Genome,2024/04/23 00:00
GCA_038422285.1,ASM3842228v1,Complete Genome,2024/04/23 00:00
GCA_038422275.1,ASM3842227v1,Complete Genome,2024/04/23 00:00
